Tanggal,Status,IpAddress,Nik
"09/16/23 11:09:00",0,"192.168.48.111","4591"
"09/16/23 11:09:00",0,"192.168.48.111","5027"
"09/16/23 11:10:00",0,"192.168.48.111","1434"
"09/16/23 11:10:00",0,"192.168.48.111","4626"
"09/16/23 11:11:00",0,"192.168.48.111","1706"
"09/16/23 11:12:00",0,"192.168.48.111","4943"
"09/16/23 11:12:00",0,"192.168.48.111","4819"
"09/17/23 12:01:00",0,"192.168.48.111","4465"
"09/17/23 01:03:00",0,"192.168.48.111","4697"
"09/17/23 01:03:00",0,"192.168.48.111","1588"
"09/17/23 01:03:00",0,"192.168.48.111","4411"
"09/17/23 01:09:00",0,"192.168.48.111","1352"
"09/17/23 01:10:00",0,"192.168.48.111","1427"
"09/17/23 01:45:00",0,"192.168.48.111","4925"
"09/17/23 03:00:00",0,"192.168.48.111","4978"
"09/17/23 03:07:00",0,"192.168.48.111","1339"
"09/17/23 03:23:00",0,"192.168.48.111","4709"
"09/17/23 05:33:00",0,"192.168.48.111","1288"
"09/17/23 05:36:00",0,"192.168.48.111","1350"
"09/17/23 05:40:00",0,"192.168.48.111","1843"
"09/17/23 05:51:00",0,"192.168.48.111","1827"
"09/17/23 06:03:00",0,"192.168.48.111","1593"
"09/17/23 06:03:00",0,"192.168.48.111","1735"
"09/17/23 06:04:00",0,"192.168.48.111","4384"
"09/17/23 06:13:00",0,"192.168.48.111","1411"
"09/17/23 06:20:00",0,"192.168.48.111","4386"
"09/17/23 06:29:00",0,"192.168.48.111","5020"
"09/17/23 06:31:00",0,"192.168.48.111","4398"
"09/17/23 06:36:00",0,"192.168.48.111","1850"
"09/17/23 06:37:00",0,"192.168.48.111","1381"
"09/17/23 06:39:00",0,"192.168.48.111","4454"
"09/17/23 06:39:00",0,"192.168.48.111","4941"
"09/17/23 06:43:00",0,"192.168.48.111","4690"
"09/17/23 06:43:00",0,"192.168.48.111","4573"
"09/17/23 06:48:00",0,"192.168.48.111","4686"
"09/17/23 06:48:00",0,"192.168.48.111","4760"
"09/17/23 06:51:00",0,"192.168.48.111","4427"
"09/17/23 06:53:00",0,"192.168.48.111","1473"
"09/17/23 06:54:00",0,"192.168.48.111","4450"
"09/17/23 06:57:00",0,"192.168.48.111","4353"
"09/17/23 06:57:00",0,"192.168.48.111","4608"
"09/17/23 07:00:00",0,"192.168.48.111","1429"
"09/17/23 07:01:00",0,"192.168.48.111","4571"
"09/17/23 07:01:00",0,"192.168.48.111","4845"
"09/17/23 07:01:00",0,"192.168.48.111","1234"
"09/17/23 07:02:00",0,"192.168.48.111","4751"
"09/17/23 07:02:00",0,"192.168.48.111","4437"
"09/17/23 07:04:00",0,"192.168.48.111","4815"
"09/17/23 07:04:00",0,"192.168.48.111","1377"
"09/17/23 07:05:00",0,"192.168.48.111","4959"
"09/17/23 07:06:00",0,"192.168.48.111","4594"
"09/17/23 07:07:00",0,"192.168.48.111","4493"
"09/17/23 07:08:00",0,"192.168.48.111","4438"
"09/17/23 07:11:00",0,"192.168.48.111","4720"
"09/17/23 07:13:00",0,"192.168.48.111","4388"
"09/17/23 07:20:00",0,"192.168.48.111","4846"
"09/17/23 07:42:00",0,"192.168.48.111","4530"
"09/17/23 07:45:00",0,"192.168.48.111","4348"
"09/17/23 02:23:00",0,"192.168.48.111","4666"
"09/17/23 02:33:00",0,"192.168.48.111","4781"
"09/17/23 02:41:00",0,"192.168.48.111","4975"
"09/17/23 02:49:00",0,"192.168.48.111","4490"
"09/17/23 03:00:00",0,"192.168.48.111","3080"
"09/17/23 03:01:00",0,"192.168.48.111","4353"
"09/17/23 03:01:00",0,"192.168.48.111","4276"
"09/17/23 03:03:00",0,"192.168.48.111","4454"
"09/17/23 03:03:00",0,"192.168.48.111","3618"
"09/17/23 03:03:00",0,"192.168.48.111","4442"
"09/17/23 03:03:00",0,"192.168.48.111","5020"
"09/17/23 03:03:00",0,"192.168.48.111","1381"
"09/17/23 03:04:00",0,"192.168.48.111","4599"
"09/17/23 03:04:00",0,"192.168.48.111","4851"
"09/17/23 03:04:00",0,"192.168.48.111","1389"
"09/17/23 03:04:00",0,"192.168.48.111","1434"
"09/17/23 03:04:00",0,"192.168.48.111","4501"
"09/17/23 03:04:00",0,"192.168.48.111","1850"
"09/17/23 03:04:00",0,"192.168.48.111","4595"
"09/17/23 03:04:00",0,"192.168.48.111","4451"
"09/17/23 03:04:00",0,"192.168.48.111","4683"
"09/17/23 03:04:00",0,"192.168.48.111","4324"
"09/17/23 03:05:00",0,"192.168.48.111","4695"
"09/17/23 03:05:00",0,"192.168.48.111","4819"
"09/17/23 03:06:00",0,"192.168.48.111","4626"
"09/17/23 03:06:00",0,"192.168.48.111","1579"
"09/17/23 03:08:00",0,"192.168.48.111","4525"
"09/17/23 03:08:00",0,"192.168.48.111","5027"
"09/17/23 03:09:00",0,"192.168.48.111","3787"
"09/17/23 03:09:00",0,"192.168.48.111","4938"
"09/17/23 03:09:00",0,"192.168.48.111","1473"
"09/17/23 03:13:00",0,"192.168.48.111","1475"
"09/17/23 03:18:00",0,"192.168.48.111","4382"
"09/17/23 03:19:00",0,"192.168.48.111","4580"
"09/17/23 03:21:00",0,"192.168.48.111","4386"
"09/17/23 04:02:00",0,"192.168.48.111","1205"
"09/17/23 04:02:00",0,"192.168.48.111","4800"
"09/17/23 04:02:00",0,"192.168.48.111","1234"
"09/17/23 04:03:00",0,"192.168.48.111","3358"
"09/17/23 04:04:00",0,"192.168.48.111","4450"
"09/17/23 04:06:00",0,"192.168.48.111","4760"
"09/17/23 04:07:00",0,"192.168.48.111","4746"
"09/17/23 04:08:00",0,"192.168.48.111","4971"
"09/17/23 04:13:00",0,"192.168.48.111","4813"
"09/17/23 04:14:00",0,"192.168.48.111","4554"
"09/17/23 04:19:00",0,"192.168.48.111","1687"
"09/17/23 04:28:00",0,"192.168.48.111","4908"
"09/17/23 04:41:00",0,"192.168.48.111","4608"
"09/17/23 05:01:00",0,"192.168.48.111","4452"
"09/17/23 05:05:00",0,"192.168.48.111","4528"
"09/17/23 05:05:00",0,"192.168.48.111","4930"
"09/17/23 05:39:00",0,"192.168.48.111","1411"
"09/17/23 05:45:00",0,"192.168.48.111","1431"
"09/17/23 05:48:00",0,"192.168.48.111","1770"
"09/17/23 05:57:00",0,"192.168.48.111","1295"
"09/17/23 06:10:00",0,"192.168.48.111","1837"
"09/17/23 06:16:00",0,"192.168.48.111","1843"
"09/17/23 06:20:00",0,"192.168.48.111","1350"
"09/17/23 06:22:00",0,"192.168.48.111","1374"
"09/17/23 06:28:00",0,"192.168.48.111","1827"
"09/17/23 06:28:00",0,"192.168.48.111","1834"
"09/17/23 06:32:00",0,"192.168.48.111","1791"
"09/17/23 06:32:00",0,"192.168.48.111","1288"
"09/17/23 06:47:00",0,"192.168.48.111","1842"
"09/17/23 07:06:00",0,"192.168.48.111","4381"
"09/17/23 10:39:00",0,"192.168.48.111","4978"
"09/17/23 11:00:00",0,"192.168.48.111","4473"
"09/17/23 11:00:00",0,"192.168.48.111","1706"
"09/17/23 11:00:00",0,"192.168.48.111","4378"
"09/17/23 11:02:00",0,"192.168.48.111","5035"
"09/17/23 11:03:00",0,"192.168.48.111","4363"
"09/17/23 11:03:00",0,"192.168.48.111","4959"
"09/17/23 11:03:00",0,"192.168.48.111","4404"
"09/17/23 11:04:00",0,"192.168.48.111","4975"
"09/17/23 11:04:00",0,"192.168.48.111","4184"
"09/17/23 11:04:00",0,"192.168.48.111","4520"
"09/17/23 11:04:00",0,"192.168.48.111","1314"
"09/17/23 11:04:00",0,"192.168.48.111","4779"
"09/17/23 11:04:00",0,"192.168.48.111","1572"
"09/17/23 11:05:00",0,"192.168.48.111","4388"
"09/17/23 11:05:00",0,"192.168.48.111","4493"
"09/17/23 11:05:00",0,"192.168.48.111","4780"
"09/17/23 11:05:00",0,"192.168.48.111","4437"
"09/17/23 11:05:00",0,"192.168.48.111","4717"
"09/17/23 11:05:00",0,"192.168.48.111","4815"
"09/18/23 05:23:00",0,"192.168.48.111","5026"
"09/18/23 05:41:00",0,"192.168.48.111","1288"
"09/18/23 05:41:00",0,"192.168.48.111","1849"
"09/18/23 05:50:00",0,"192.168.48.111","1843"
"09/18/23 05:57:00",0,"192.168.48.111","4384"
"09/18/23 06:01:00",0,"192.168.48.111","1735"
"09/18/23 06:03:00",0,"192.168.48.111","1295"
"09/18/23 06:06:00",0,"192.168.48.111","1431"
"09/18/23 06:08:00",0,"192.168.48.111","1833"
"09/18/23 06:08:00",0,"192.168.48.111","1400"
"09/18/23 06:08:00",0,"192.168.48.111","4386"
"09/18/23 06:09:00",0,"192.168.48.111","1848"
"09/18/23 06:11:00",0,"192.168.48.111","1770"
"09/18/23 06:13:00",0,"192.168.48.111","1411"
"09/18/23 06:18:00",0,"192.168.48.111","1850"
"09/18/23 06:19:00",0,"192.168.48.111","5020"
"09/18/23 06:28:00",0,"192.168.48.111","4756"
"09/18/23 06:33:00",0,"192.168.48.111","4972"
"09/18/23 06:35:00",0,"192.168.48.111","4760"
"09/18/23 06:36:00",0,"192.168.48.111","4442"
"09/18/23 06:39:00",0,"192.168.48.111","4671"
"09/18/23 06:40:00",0,"192.168.48.111","4688"
"09/18/23 06:43:00",0,"192.168.48.111","4924"
"09/18/23 06:43:00",0,"192.168.48.111","4910"
"09/18/23 06:44:00",0,"192.168.48.111","1381"
"09/18/23 06:46:00",0,"192.168.48.111","4454"
"09/18/23 06:48:00",0,"192.168.48.111","3598"
"09/18/23 06:48:00",0,"192.168.48.111","1473"
"09/18/23 06:50:00",0,"192.168.48.111","4428"
"09/18/23 06:56:00",0,"192.168.48.111","4427"
"09/18/23 06:59:00",0,"192.168.48.111","4608"
"09/18/23 07:00:00",0,"192.168.48.111","4594"
"09/18/23 07:00:00",0,"192.168.48.111","1318"
"09/18/23 07:00:00",0,"192.168.48.111","4392"
"09/18/23 07:00:00",0,"192.168.48.111","4772"
"09/18/23 07:02:00",0,"192.168.48.111","4183"
"09/18/23 07:02:00",0,"192.168.48.111","4711"
"09/18/23 07:02:00",0,"192.168.48.111","3057"
